



"Microwave Link Report"
"Save Time:04/02/2025 23:26:13"
"User Name:admin"
"Data Source:NE"

"Total 555 Records"

"Link Name","Source Physical Location","Source NE Name","Source NE ID","Source Board","Source Port","Sink Physical Location","Sink NE Name","Sink NE ID","Sink Board","Sink Port","Level","Up and down Rate Ratio(TX:RX)","Source Protect Type","Sink Protect Type","Source Protection Group ID","Sink Protection Group ID","Source Protect Unit Type","Sink Protect Unit Type","Source Revertive Mode","Sink Revertive Mode","Source Protection Group Active Work Unit","Sink Protection Group Active Work Unit","Source XPIC Group ID","Sink XPIC Group ID","Source XPIC Group Capacity (Mbit/s)","Sink XPIC Group Capacity (Mbit/s)","Source XPIC Polarization Direction","Sink XPIC Polarization Direction","Source XPIC Adjoin NEID","Sink XPIC Adjoin NEID","Source XPIC Adjoin LinkID","Sink XPIC Adjoin LinkID","Source Frequency(GHz)","Sink Frequency(GHz)","Source ODU Frequency Range(MHz)","Sink ODU Frequency Range(MHz)","Source Equipment Information","Sink Equipment Information","Source Station Type","Sink Station Type","Source NE Frequency (MHz)","Sink NE Frequency (MHz)","Source NE Radio Work Mode","Sink NE Radio Work Mode","Source NE Preset Value of Transmit Power","Sink NE Preset Value of Transmit Power","Source NE Current Value of Transmit Power","Sink NE Current Value of Transmit Power","Source NE Preset Value of Receive Power","Sink NE Preset Value of Receive Power","Source NE Current Value of Receive Power","Sink NE Current Value of Receive Power","Source NE Max Value of Transmit Power of 24-Hour PM","Sink NE Max Value of Transmit Power of 24-Hour PM","Source NE Min Value of Transmit Power of 24-Hour PM","Sink NE Min Value of Transmit Power of 24-Hour PM","Source NE Max Value of Receive Power of 24-Hour PM","Sink NE Max Value of Receive Power of 24-Hour PM","Source NE Min Value of Receive Power of 24-Hour PM","Sink NE Min Value of Receive Power of 24-Hour PM","Source NE Guaranteed E1 Capacity","Sink NE Guaranteed E1 Capacity","Source NE Occupied E1 Capacity","Sink NE Occupied E1 Capacity","Source NE E1 Capacity Usage (%)","Sink NE E1 Capacity Usage (%)","Source NE Ethernet Capacity (Mbit/s)","Sink NE Ethernet Capacity (Mbit/s)","Source NE Max. Ethernet Throughput (kbps)","Sink NE Max. Ethernet Throughput (kbps)","Source NE Min. Ethernet Throughput (kbps)","Sink NE Min. Ethernet Throughput (kbps)","Source NE Average Ethernet Throughput (kbps)","Sink NE Average Ethernet Throughput (kbps)","Source NE ATPC Enable Status","Sink NE ATPC Enable Status","Source NE ATPC Upper Threshold","Sink NE ATPC Upper Threshold","Source NE ATPC Lower Threshold","Sink NE ATPC Lower Threshold","Source NE ATPC Automatic Threshold Enable Status","Sink NE ATPC Automatic Threshold Enable Status","Source NE ATPC Upper Automatic Threshold","Sink NE ATPC Upper Automatic Threshold","Source NE ATPC Lower Automatic Threshold","Sink NE ATPC Lower Automatic Threshold","Source NE AM Status","Sink NE AM Status","Source AM Full Capacity Modulation Format","Sink AM Full Capacity Modulation Format","Source AM Guaranteed Capacity Modulation Format","Sink AM Guaranteed Capacity Modulation Format","Highest-Order AM Scheme for Source NE","Highest-Order AM Scheme for Sink NE","Lowest-Order AM Scheme for Source NE","Lowest-Order AM Scheme for Sink NE","Link ID","Site Distance","Source PLA ID","Sink PLA ID","Source PLA Type","Sink PLA Type","Source PLA Port Type","Sink PLA Port Type"
l-34,,6362-RTN392156_METALSEN,48-156,3-IFU2,1(RTNIF-1),,6303-RTN392163_GIRNE_TD_VIP2,48-163,4-IFU2,1(RTNIF-1),Hybrid(363Mbit/s),-,None,None,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,38,38,"[38304.000,38892.000]","[37044.000,37632.000]",HP,HP,TX high,TX low,38738.000,37478.000,"0E1,56MHz,256QAM","0E1,56MHz,256QAM",23.00,23.00,15.00,15.00,-10.00,-10.00,-53.30,-55.20,17.00,15.00,15.00,15.00,-53.20,-53.90,-54.30,-58.50,0,0,0,0,-,-,362.243,362.243,314092,110038,0,0,36492,6662,Disabled,Disabled,-,-,-,-,Disabled,Disabled,-,-,-,-,Enabled,Enabled,256QAM,256QAM,QPSK,QPSK,256QAM,256QAM,QPSK,QPSK,14,-,/,/,/,/,/,/
l-38,,6322-RTN392158_DORANA,48-158,3-IFU2,1(RTNIF-1),,6303-RTN392164_GIRNE_TD_VIP2,48-164,5-IFU2,1(RTNIF-1),Hybrid(363Mbit/s),-,None,None,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,38,38,"[38304.000,38892.000]","[37044.000,37632.000]",HP,HP,TX high,TX low,38850.000,37590.000,"0E1,56MHz,256QAM","0E1,56MHz,256QAM",20.00,20.00,7.00,3.00,-10.00,-10.00,-42.20,-41.50,11.00,5.00,5.00,1.00,-40.50,-36.90,-46.10,-45.30,0,0,0,0,-,-,362.243,362.243,222472,90426,0,312,25980,5346,Enabled,Enabled,-35.00,-35.00,-50.00,-50.00,Disabled,Disabled,-,-,-,-,Enabled,Enabled,256QAM,256QAM,16QAM,16QAM,256QAM,256QAM,QPSK,QPSK,17,-,/,/,/,/,/,/
l-3,,1618-RTN392202_DSI,48-202,4-IFU2,1(RTNIF-1),,1206-RTN392203_MAGOSA_UN,48-203,3-IFU2,1(RTNIF-1),Hybrid(363Mbit/s),-,None,None,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,38,38,"[37044.000,37632.000]","[38304.000,38892.000]",HP,HP,TX low,TX high,37534.000,38794.000,"0E1,56MHz,256QAM","0E1,56MHz,256QAM",19.00,19.00,15.00,15.00,-10.00,-10.00,-46.50,-43.60,15.00,15.00,15.00,15.00,-44.30,-41.60,-52.80,-48.50,0,0,0,0,-,-,362.243,362.243,148153,349219,0,0,9812,86838,Disabled,Disabled,-,-,-,-,Disabled,Disabled,-,-,-,-,Enabled,Enabled,256QAM,256QAM,QPSK,QPSK,256QAM,256QAM,QPSK,QPSK,19,-,/,/,/,/,/,/
l-3,,1517-RTN392200_KARAKOL,48-200,4-IFU2,1(RTNIF-1),,1120-RTN392201_KARAKOL_NEW,48-201,3-IFU2,1(RTNIF-1),Hybrid(363Mbit/s),-,None,None,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,38,38,"[38304.000,38892.000]","[37044.000,37632.000]",HP,HP,TX high,TX low,38346.000,37086.000,"0E1,56MHz,256QAM","0E1,56MHz,256QAM",20.00,20.00,15.00,15.00,-10.00,-10.00,-50.50,-50.20,15.00,15.00,15.00,15.00,-50.50,-48.70,-52.10,-50.20,0,0,0,0,-,-,362.243,362.243,76268,211909,0,0,3993,16216,Disabled,Disabled,-,-,-,-,Disabled,Disabled,-,-,-,-,Enabled,Enabled,256QAM,256QAM,16QAM,16QAM,256QAM,256QAM,QPSK,QPSK,22,-,/,/,/,/,/,/
l-2,,6349-RTN392102_HASPOLAT_VIP2,48-102,5-IFU2,1(RTNIF-1),,1636-RTN392103_UGUR_MOBILYA,48-103,3-IFU2,1(RTNIF-1),Hybrid(363Mbit/s),-,None,None,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18,18,"[18180.000,18480.000]","[19190.000,19490.000]",HP,HP,TX low,TX high,18250.000,19260.000,"0E1,56MHz,256QAM","0E1,56MHz,256QAM",23.00,23.00,17.00,17.00,-10.00,-10.00,-42.10,-46.00,17.00,17.00,17.00,17.00,-40.70,-44.60,-42.80,-46.80,0,0,0,0,-,-,362.243,362.243,128102,271646,0,0,11505,70873,Enabled,Enabled,-35.00,-35.00,-50.00,-50.00,Disabled,Disabled,-,-,-,-,Enabled,Enabled,256QAM,256QAM,QPSK,QPSK,256QAM,256QAM,QPSK,QPSK,35,-,/,/,/,/,/,/
l-3,,1622-RTN3921622_DUBARA,48-1622,3-IFU2,1(RTNIF-1),,1618-RTN392209_DSI,48-209,6-IFU2,1(RTNIF-1),Hybrid(363Mbit/s),-,None,None,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,38,38,"[38304.000,38892.000]","[37044.000,37632.000]",HP,HP,TX high,TX low,38346.000,37086.000,"1E1,56MHz,256QAM","1E1,56MHz,256QAM",20.00,20.00,1.00,1.00,-10.00,-10.00,-43.80,-42.50,/,1.00,/,1.00,/,-40.10,/,-52.00,1,1,0,0,0.00,0.00,360.169,360.169,201988,131062,340,0,23165,9383,Enabled,Enabled,-40.00,-40.00,-55.00,-55.00,Disabled,Disabled,-,-,-,-,Enabled,Enabled,256QAM,256QAM,QPSK,QPSK,256QAM,256QAM,QPSK,QPSK,39,-,/,/,/,/,/,/
l-13,,1513-RTN392218_PIYALEPASA,48-218,3-IFU2,1(RTNIF-1),,1531-RTN392219_ZIYAGOKALP,48-219,5-IFU2,1(RTNIF-1),Hybrid(183Mbit/s),-,None,None,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,38,38,"[38304.000,38892.000]","[37044.000,37632.000]",HP,HP,TX high,TX low,38472.000,37212.000,"1E1,28MHz,256QAM","1E1,28MHz,256QAM",8.00,8.00,8.00,8.00,-10.00,-10.00,-31.50,-31.80,8.00,8.00,8.00,8.00,-30.10,-29.70,-33.50,-32.70,1,1,0,0,0.00,0.00,180.247,180.247,183397,103869,0,280,17376,3564,Disabled,Disabled,-,-,-,-,Disabled,Disabled,-,-,-,-,Enabled,Enabled,256QAM,256QAM,16QAM,16QAM,256QAM,256QAM,QPSK,QPSK,47,-,/,/,/,/,/,/
l-17,,6349-RTN392119_HASPOLAT_VIP2,48-119,3-IFU2,1(RTNIF-1),,1637-RTN392116_HAMITKOY,48-116,3-IFU2,1(RTNIF-1),Hybrid(363Mbit/s),-,None,None,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18,18,"[18180.000,18480.000]","[19190.000,19490.000]",HP,HP,TX low,TX high,18360.000,19370.000,"0E1,56MHz,256QAM","0E1,56MHz,256QAM",21.00,21.00,17.00,17.00,-10.00,-10.00,-45.00,-46.80,19.00,17.00,17.00,17.00,-43.50,-45.40,-46.00,-50.70,0,0,0,0,-,-,362.243,362.243,111322,232622,0,1,5001,26955,Disabled,Disabled,-,-,-,-,Disabled,Disabled,-,-,-,-,Enabled,Enabled,256QAM,256QAM,16QAM,16QAM,256QAM,256QAM,QPSK,QPSK,51,-,/,/,/,/,/,/
l-4,,1528-RTN392208_AKDOGAN_TD,48-208,4-ISX2,1(RTNIF-1),,1616-RTN392261_BEYARMUDU_TD,48-261,3-ISX2,1(RTNIF-1),Hybrid(363Mbit/s),-,None,None,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18,18,"[19190.000,19710.000]","[18180.000,18700.000]",XMC-2,XMC-2,TX high,TX low,19590.000,18580.000,"1E1,56MHz,256QAM","1E1,56MHz,256QAM",20.00,20.00,16.40,16.40,-10.00,-10.00,-32.00,-33.00,16.50,16.50,16.40,16.40,-31.80,-32.30,-34.60,-35.10,1,1,0,1,0.00,100.00,360.016,360.014,149275,257871,0,0,4324,23265,Disabled,Disabled,-,-,-,-,Disabled,Disabled,-,-,-,-,Enabled,Enabled,256QAM,256QAM,16QAM,16QAM,256QAM,256QAM,QPSK,QPSK,59,-,/,/,/,/,/,/
l-5,,6350-RTN392274_DENIZKIZI,48-274,3-ISX2,1(RTNIF-1),,1215-RTN392273_ALSANCAK,48-273,6-ISX2,1(RTNIF-1),Hybrid(363Mbit/s),-,None,None,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,38,38,"[38304.000,38892.000]","[37044.000,37632.000]",XMC-2,XMC-2,TX high,TX low,38346.000,37086.000,"1E1,56MHz,256QAM","1E1,56MHz,256QAM",20.00,20.00,14.00,14.00,-10.00,-10.00,-40.30,-39.70,14.10,14.10,14.00,14.00,-39.80,-39.40,-41.00,-40.50,1,1,0,0,0.00,0.00,360.014,360.016,290269,156641,0,0,36308,6032,Disabled,Disabled,-,-,-,-,Disabled,Disabled,-,-,-,-,Enabled,Enabled,256QAM,256QAM,QPSK,QPSK,256QAM,256QAM,QPSK,QPSK,66,-,/,/,/,/,/,/
